planta	celda	y	x	n.infrut	copa	vecino	x.diam	x.peso	x.az	x.pulpa	x.sem	p.a.visitas	frut.cons
J7-4	J7	7036385.746	3566093.912	12	1.56	1.13	6.050	0.158	12.690	0.122	0.035	0	0
K3-1	K3	7036311.599	3566146.557	13	1.54	1.08	8.742	0.364	12.650	0.305	0.048	0	0
K3-2	K3	7036313.385	3566158.168	7	1.19	0.44	7.513	0.260	14.400	0.220	0.040	0	0
K3-3	K3	7036330.023	3566154.940	14	1.32	0.81	7.394	0.265	12.950	0.234	0.036	0	0
K3-4	K3	7036339.335	3566140.074	7	1.55	0.54	7.706	0.270	16.250	0.225	0.023	0	0
K8-1	K8	7036382.174	3566070.692	12	2.11	0.96	5.665	0.148	11.310	0.122	0.026	0	0
K8-2	K8	7036382.183	3566069.035	17	1.95	1.65	7.229	0.173	12.850	0.152	0.022	0	0
K8-3	K8	7036378.446	3566077.301	41	3.19	1.02	7.136	0.174	11.200	0.148	0.026	0	0
K8-4	K8	7036384.003	3566074.016	43	2.5	1.33	7.491	0.181	13.950	0.151	0.030	0	0
L7-1	L7	7036361.834	3566075.557	28	1.62	0.92	5.388	0.099	17.550	0.075	0.024	0	0
L7-2	L7	7036359.935	3566085.491	19	1.06	1.02	5.573	0.100	22.880	0.081	0.021	0	0
L7-3	L7	7036356.250	3566083.814	7	1.23	0.53	6.498	0.163	12.700	0.132	0.031	0	0
L7-4	L7	7036350.719	3566082.128	4	2.62	1.34	6.325	0.148	13.500	0.125	0.024	0	0
L7-5	L7	7036358.062	3566090.453	24	4.5	1.8	7.428	0.220	9.500	0.174	0.047	1	10
M7-1	M7	7036332.251	3566082.032	18	1.51	0.73	7.405	0.215	9.550	0.191	0.024	0	0
M7-2	M7	7036321.145	3566086.945	9	1.22	0.73	6.474	0.159	8.700	0.129	0.030	0	0
M7-3	M7	7036321.188	3566078.659	13	1.88	1.28	6.644	0.176	12.350	0.158	0.018	0	0
M7-5	M7	7036324.855	3566083.650	9	2.76	0.72	6.878	0.193	11.000	0.171	0.022	1	1
