mes	largo	peso.seco
2	16	0.047
2	21.62	0.126
2	26.69	0.201
2	29.13	0.342
2	23.24	0.147
2	28.83	0.271
2	24.35	0.175
2	22.39	0.162
2	20.05	0.086
2	17.26	0.059
2	19.29	0.072
2	23.3	0.14
2	23.13	0.151
2	17.23	0.059
2	16.41	0.056
2	16.76	0.061
2	15.2	0.039
2	17.11	0.063
2	19.06	0.089
2	15.75	0.045
2	16.43	0.048
4	30.25	0.274
4	23.05	0.11
4	26.89	0.171
4	19.38	0.06
4	23.76	0.094
4	23.61	0.117
4	24.36	0.127
4	27.41	0.198
4	29.01	0.25
4	26.45	0.209
4	24.89	0.166
4	25.36	0.148
4	22.5	0.091
4	22.76	0.115
4	27.09	0.158
4	24.13	0.152
4	25.51	0.147
4	23.68	0.131
4	24.91	0.132
4	22.9	0.129
4	23.2	0.136
4	11.67	0.015
4	10.21	0.011
4	9.93	0.009
4	9.95	0.009
4	19.78	0.095
4	8.16	0.004
4	9.02	0.007
4	8.15	0.006
4	7.46	0.004
4	7.55	0.004
4	7.13	0.003
4	5.99	0.002
4	5.66	0.002
4	5.82	0.002
4	10.38	0.01
4	25.01	0.143
4	25.66	0.159
4	24.09	0.12
4	12.32	0.019
4	11.66	0.017
4	11.06	0.015
4	12.12	0.018
4	13.85	0.026
4	11.69	0.017
4	11.47	0.014
4	10.01	0.011
4	9.99	0.01
4	14.21	0.032
4	13.92	0.027
4	14.71	0.031
4	13.97	0.025
4	14.33	0.028
4	12.89	0.024
4	12.88	0.021
4	13.77	0.025
4	9.35	0.009
4	12.85	0.023
4	13.13	0.019
4	11.42	0.015
4	12.17	0.015
4	10.24	0.012
4	12.26	0.015
4	12.36	0.02
4	12.36	0.019
4	10.31	0.013
4	11.9	0.014
4	12.01	0.017
4	12.25	0.016
4	12.36	0.019
4	12.56	0.019
4	12.25	0.019
4	11.84	0.016
4	12.36	0.02
4	12.86	0.022
4	12.15	0.018
4	15.53	0.041
4	13.01	0.021
4	14.69	0.031
4	14.65	0.03
4	14.89	0.032
4	14.61	0.031
4	13.87	0.031
4	13.56	0.025
4	13.72	0.027
4	14.15	0.027
4	13.55	0.03
4	14.47	0.035
4	23.15	0.107
4	22.12	0.108
4	13.75	0.026
4	13.48	0.028
4	14.41	0.03
4	15.02	0.037
4	13.44	0.026
4	12.8	0.02
4	13.08	0.023
4	13.99	0.024
4	13.4	0.028
4	14.87	0.035
4	12.95	0.021
4	12.79	0.024
4	13.92	0.029
4	14.24	0.03
4	15.25	0.035
4	14.52	0.034
4	13.97	0.027
4	12.55	0.022
4	13.43	0.029
4	14.1	0.032
4	12.84	0.022
4	12.98	0.022
4	13.59	0.028
4	13.93	0.027
4	14.99	0.033
4	10.61	0.012
4	8.41	0.007
4	14.16	0.031
4	13.75	0.024
4	13.03	0.021
4	11.02	0.014
4	10.08	0.01
4	9.5	0.009
4	11.21	0.016
4	11.43	0.015
4	15.4	0.029
4	10.19	0.011
4	10.43	0.01
4	10.5	0.01
4	11.45	0.013
4	10.69	0.012
4	11.3	0.014
4	10.97	0.011
4	7.7	0.004
4	13.36	0.022
4	12.91	0.017
4	12.84	0.024
4	12.62	0.016
4	13.35	0.021
4	11.84	0.017
4	11.63	0.014
4	11.71	0.014
4	12.13	0.017
4	8.6	0.006
4	9.3	0.007
4	14.21	0.026
4	13.84	0.028
4	13.58	0.025
4	13.9	0.027
4	13.84	0.023
4	13.9	0.023
4	13.9	0.026
4	13.78	0.023
4	13.53	0.02
